booking_time,booking_distance,booking_amount,actual_total_time,payment_method_name,item_total_cnt,item_unique_cnt,customer_id,merchant_id
2020-09-30 22:06:22.020381,4.06,11000,1551,pay2,1,1,63,31
2020-09-05 22:03:06.918260,1.83,10000,2086,pay2,2,1,243,42
2020-10-15 00:06:38.545723,1.85,6000,1760,pay4,3,3,344,12
2020-10-27 19:52:40.941202,2.25,9000,1235,pay1,2,2,224,45
2020-10-11 08:22:12.606707,0.45,5000,1604,pay1,1,1,233,22
2020-09-14 23:59:16.067036,3.8,6000,1087,pay3,9,7,25,7
2020-09-22 22:28:01.656442,1.06,6000,1294,pay1,3,3,91,33
2020-09-16 18:30:18.539353,1.95,6000,785,pay4,9,4,107,15
2020-10-01 13:49:27.696277,1.12,0,710,pay1,3,1,191,9
2020-09-14 17:31:52.239722,2.79,6000,1793,pay1,5,2,429,27
2020-10-27 20:53:16.549447,1.95,0,848,pay2,2,2,26,11
2020-09-01 20:00:55.308602,3.66,6000,1029,pay1,2,2,164,37
2020-09-05 18:23:25.240952,4.46,8000,2577,pay1,4,4,496,27
2020-09-19 17:25:26.803784,5.5,11000,1405,pay1,2,1,327,41
2020-09-23 12:37:06.384890,4.04,7000,1178,pay1,4,4,288,38
2020-10-25 13:17:47.728866,1.43,6000,1134,pay1,1,1,64,31
2020-09-01 11:40:25.578257,1.63,6000,1321,pay1,1,1,231,23
2020-10-11 13:31:22.506713,5.88,12000,3135,pay1,3,2,167,25
2020-09-11 17:56:24.396029,2.36,7000,757,pay1,5,4,237,0
2020-09-14 12:03:42.500317,1.27,10000,958,pay1,1,1,108,10
2020-10-17 08:30:44.472222,1.24,0,919,pay2,1,1,420,15
2020-09-03 12:08:33.593330,4.12,16000,3079,pay2,2,2,75,37
2020-10-20 16:04:15.995673,0.6,6000,1632,pay2,2,1,450,18
2020-10-27 11:56:00.409169,1.47,6000,1316,pay2,1,1,70,42
2020-09-10 13:21:51.285353,0.92,10000,657,pay2,1,1,445,30
2020-09-15 13:52:58.729268,4.45,11000,784,pay1,5,4,97,7
2020-10-13 20:07:19.462633,1.69,7000,1007,pay1,1,1,288,21
2020-10-29 07:35:29.066223,9.1,19000,6265,pay2,15,8,28,32
2020-10-03 14:39:53.126671,8.09,21000,2332,pay2,1,1,240,4
2020-10-09 13:12:09.219795,2.43,9000,1329,pay2,3,2,129,18
2020-09-24 13:18:43.752994,1.61,12000,1623,pay2,2,2,157,34
2020-09-13 12:28:59.899852,0.57,6000,1086,pay2,1,1,205,20
2020-09-11 14:40:29.978070,4.45,8000,1239,pay1,2,2,424,47
2020-09-16 12:33:01.513493,1.44,6000,1832,pay3,1,1,241,49
2020-09-12 11:34:18.645290,3.93,6000,1584,pay1,1,1,103,18
2020-10-08 09:01:15.597574,4.47,12000,1529,pay2,1,1,343,1
2020-09-08 17:13:55.649789,3.77,7000,3856,pay3,1,1,160,47
2020-10-29 15:00:25.353603,3.92,6000,1777,pay2,3,1,477,15
2020-10-09 18:04:12.717978,1.83,6000,2729,pay1,7,3,336,0
2020-09-28 17:10:10.781684,2.61,3000,1387,pay1,3,2,100,40
2020-09-16 19:18:50.531038,3.14,6000,1275,pay2,4,1,93,16
2020-08-31 17:55:54.387465,5.69,18000,1386,pay1,2,1,497,12
2020-10-14 12:58:38.173003,5.28,0,1899,pay1,3,3,279,12
2020-09-30 23:21:08.854147,3.99,0,1561,pay1,2,2,336,30
2020-09-16 10:40:55.778310,3.0,6000,1870,pay2,2,1,2,40
2020-10-28 12:07:24.273118,2.85,9000,1138,pay1,1,1,397,13
2020-09-06 11:15:35.054700,4.14,0,1735,pay1,2,2,289,20
2020-10-27 19:32:16.683247,1.91,7000,1344,pay1,1,1,249,33
2020-10-26 19:50:55.672357,2.48,6000,1791,pay1,2,2,411,37
2020-09-24 01:00:43.305723,1.18,10000,1081,pay2,1,1,221,45
2020-09-11 11:58:02.302802,3.04,12000,2293,pay2,1,1,81,38
2020-10-16 18:54:15.772646,2.99,6000,2464,pay1,3,3,241,7
2020-10-12 19:31:21.727839,0.07,6000,726,pay4,1,1,495,25
